Date,Titres,Contents
2021-03-31 ,arnaque ,Mon père qui vient de décéder possédait une offre prépayée  mobicarte. Aujourd'hui  il y a à peu près 500€ de crédit qui sont perdus.On pourrait passer à un forfait bloqué 2h00 mais le crédit n'est pas utilisable avec la data. On ne pourra donc jamais solder ce crédit. Un mois après mon père le forfait va s'éteindre. Ce type d'offre ( mobicarte) ne devrait pas exister. Beaucoup de sénior possède de ce type d'offre et remplissent bien les caisses d'orange. Orange fait partie des entreprises qui s'engraissent bien avec le marché de la mort.
2021-03-31 ,c'est trop long à expliqué tellement… ,c'est trop long à expliqué tellement aucunes des personnes travaillant chez orange en boutique ou au téléphones dans les services clients sont en désaccord et donnent des informations différentes.
2021-03-31 ,Le service client d'Orange est déplorable ! ,"Le service client téléphonique d'Orange est déplorable malgré la sympathie des conseiller(e)s et la compétence de seulement 10% environ des personnes en contact.Lorsqu'un problème est à résoudre :- Résiliation d'une ligne fixe suite à un déménagement : la demande n'a pas été traitée à temps  les montants de l'abonnement ont continués d'être débités pendant 3 mois jusqu'à l'annulation du prélèvement automatique  des factures à payer ont été encore émises pendant 2 mois et il a fallu que je me fâche au téléphone pour avoir un accord de remboursement qui reste en attente de réception à ce jour !- Nouveau logement soit disant éligible à la fibre mais dont le technicien n'arrive pas à le connecter : 2 mois et demi de démarches auprès d'Orange pour obtenir la connexion ADSL et que tout fonctionne  après des heures passées au téléphone (facturées en hors forfait !) auprès de 30 à 35 personnes différentes  sans qu'aucune n'enregistre les informations dans le dossier nécessitant de tout répéter à chaque appel  promettant pour certaines de rappeler mais sans le faire ou de faire le nécessaire mais sans suite  envoiyant un équipement (décodeur  livebox) mais pas les bons modèles (4 retournés) et après 2 lettres de réclamation envoyées au service national.Actuellement  il reste à changer le nom de la ligne fixe qui a été mal enregistré par rapport au numéro mobile et à tenter d'être remboursé des prélèvements qui ont été aussi effectués tout de même pendant tout ce temps  et éventuellement un dédommagement  mais il ne faut pas rêver.Orange sait très bien facturer  encaisser et relancer même à tord  très rapidement mais pour être remboursé  c'est un long chemin de croix  alors pour un dédommagement ... !Conclusion : bon courage si vous avez un problème à résoudre avec le service client Orange !Un(e) conseiller(e) m'a même dit ""Vous devriez aller à la concurrence"" et un(e) autre ""Vous pouvez résilier votre abonnement à vos frais""  et aucun manageur soit disant informé  ou devrai-je dire soit disant manageur  ne m'a appelé pour s'informer de la situation et éventuellement tenter de la solutionner.Ce qui m'a fait le plus rire pendant toute cette période  c'est le message diffusé au début de chaque appel ""Nous vous informons que cette conversation sera enregistrée afin d'améliorer notre service client"".Bravo Orange pour votre humour  beaucoup plus développer que la compétence de votre service client !"
2021-03-30 ,J'attend toujours ma carte sim depuis plus de trois semaines !!! ,J'ai dut changer de mobil suite à un vol  j'ai bien reçu mon nouveau mobil asser rapidement mais j'attend toujours ma carte sim (déjà trois semaines) après trois sois disant courriers en Chronopost. Là maintenant j'attend leur quatrième expédition mais en colis Chronopost  j'espère que cette fois sera la bonne  car sinon je vais péter un plomb. De plus je suis hospitalisé  donc je ne peut me rendre dans une boutique d'orange  et le pire c'est qu'a chaque fois ils me disent que je vais recevoir un SMS de confirmation  problème ; je fais comment pour recevoir et lire un SMS sans carte sim  et à chaque fois c'est la même chose avec les différents interlocuteurs  ras le bol de de se repetter en permanence !!!
2021-03-30 ,Orange c'est quoi la fibre ? ,Orange c'est quoi la fibre ?Voila plusieurs mois que j'attends qu'orange m'installe la fibre. j'ai tout l'équipement et une clé 4G qui ne sert a rien .Ma fille TSA est a l’hôpital pour une grave opération et j'ai une clé 4G qui ne sert a rien et je vais payer a l’hôpital  la télé  et un abonnement wifi.
2021-03-30 ,Déception ,Déception ! Aucun professionnalisme  personne ne répond lorsqu’on demande des informations. Je ne peux plus accéder à ma boîte mail  et ils sont incapable de me redonner mes informations personnelles ce trouvant dans mon e-mail leur seule réponse « nous ne pouvons rien faire ». Quand on appelle le service par téléphone leur robot ne comprend pas un seul mot ! C’est inadmissible ! Fuyer orange et aller chez autre un opérateur  et vous n’aurez plus de problème !
2021-03-30 ,Je suis client orange depuis 25 ans et DECEPTION...… ,Je suis client orange depuis + de 20 ans et n'ose pas en changer car  je dois le dire  il y a peu de problème de fonctionnement ... En revanche  lorsque vous souhaitez avoir des renseignements  le dernier en date est  comment obtenir le puissance de la fibre sur ma box  là il y a plus personne et le comble c'est que sur le site dédié  un message s'affiche indiquant : '' ce service est momentanément indisponible'' . ............... Par ailleurs  rendez-vous compte qu'iln'est pas possible de joindre un service orange pour les particuliers si vous appelez avec un appareil bénéficiant d'un forfait Pro.  Alors  vive la France  vive son sérieux et vive son savoir faire en télécommunication mondialement connu  .................... Il n'y a plus de personne responsable  juste des offres de ventes  des tarifs  des machines qui freinent votre mécontentement et un système numérique qui décourage et empêche les clients d'exprimer leurs déceptions.  Je vous invite à regarder le % des avis et vous constaterez que mon message me donne raison .... MAIS  SANS QUE RIEN NE CHANGE ....
2021-03-30 ,Pass WIFI en attente de remboursement… ,Pass WIFI en attente de remboursement depuis 2ans référence :  416242868Orange me dit que ma demande est en cours depuis 2ans  malgré l'appel + courrier au médiateur + nombreux mails au SAVPASS WIFI non fonctionnel depuis le départ  contact dès l'achat du pass.Je déconseille cette entreprise.
2021-03-29 ,ORANGE coupe ma ligne fibre par erreur ,ORANGE coupe ma ligne fibre le 19  février 2021 par erreur  le souci c 'est que je me sers du tel et internet pour le travail... depuis X appels au 3900  réception de différents mails me disant que ça va  être rétabli ... et maintenant date butoir  5 MAI....  ON m' a même proposé de mettre ADSL alors que j'avais fibre AVANT!! désormais ORANGE n'est plus fiable....un message dit que mon numéro n'est plus attribué...aucune solution rapide  proposée inadmissible  différents explications...  A FUIR
2021-03-29 ,bonjour ,bonjourle plus mauvais service à la clientéle .heureusement que les autres opérateurs considèrent  leurs clients et sont à l écoute .A FUIR
